id,user_id,flight_room_id,name,no_of_pour,type,sub_type,created_at,updated_at,deleted_at
295,49,,The Presidential Dram 8 Year Straight Bourbon Whiskey,1,fully-blind,,2025-04-11 06:20:19,2025-04-11 06:20:19,
296,49,,test,2,fully-blind,,2025-04-11 06:23:03,2025-04-11 06:23:03,
298,49,bhzN4FmoC6,Test,2,semi-blind,,2025-04-11 07:03:22,2025-04-11 07:03:22,
300,46,,Stranahan's Snowflake 2024 Redcloud Peak,1,fully-blind,,2025-04-11 07:26:28,2025-04-11 07:26:28,
303,35,,Russell's Reserve Single Barrel Bourbon,1,heads-up,,2025-04-12 04:52:58,2025-04-12 04:52:58,
304,8,,Penelope Bourbon Valencia Finish,1,heads-up,,2025-04-12 22:39:11,2025-04-12 22:39:11,
305,8,,Knob Creek Bourbon Single Barrel,1,heads-up,,2025-04-12 23:10:01,2025-04-12 23:10:01,
306,8,,High West Prisoner's Share,1,heads-up,,2025-04-13 01:00:27,2025-04-13 01:00:27,
307,8,,Elijah Craig Private Barrel - Toasted Barrel Proof,1,heads-up,,2025-04-13 01:24:43,2025-04-13 01:24:43,
308,35,,Bourbon handles WT101/Bull/EC94/K9,4,semi-blind,,2025-04-13 01:42:50,2025-04-13 01:42:50,
314,40,,Penelope Bourbon Rio Cask Finish,1,heads-up,,2025-04-14 13:22:05,2025-04-14 13:22:05,
316,40,,13th Colony 15 Year Anniversary Specialty Cask Strength Bourbon,1,fully-blind,,2025-04-14 14:14:38,2025-04-14 14:14:38,
317,40,RBGwFlvotd,13th Colony 15 Year Anniversary Specialty Cask Strength Bourbon,1,fully-blind,,2025-04-14 14:27:48,2025-04-14 14:27:48,
318,8,,Shenk's Homestead Sour Mash Whiskey,1,heads-up,,2025-04-15 02:22:44,2025-04-15 02:22:44,
319,35,,Eagle Rare 10 Year Bourbon,1,heads-up,,2025-04-15 03:54:03,2025-04-15 03:54:03,
330,49,3rUzfYiGCU,Chicken Cock Red Stave Bourbon,1,fully-blind,,2025-04-15 07:39:19,2025-04-15 07:39:19,
331,46,3rUzfYiGCU,Chicken Cock Red Stave Bourbon,1,fully-blind,,2025-04-15 07:39:22,2025-04-15 07:39:22,
332,49,hhd5cN8GdG,Kozuba La Ciruela Plum Flavored Whiskey,1,fully-blind,,2025-04-15 08:47:41,2025-04-15 08:47:41,
333,8,,Old Forester Single Barrel Barrel Proof Bourbon,1,heads-up,,2025-04-15 22:37:28,2025-04-15 22:37:28,
334,8,,Leopold Bros 8 Year Bourbon,1,heads-up,,2025-04-16 00:29:53,2025-04-16 00:29:53,
337,49,lWEP7PX1rG,Kozuba La Ciruela Plum Flavored Whiskey,1,heads-up,,2025-04-16 13:59:44,2025-04-16 13:59:44,
339,49,FpEPDH34Am,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-04-16 14:01:02,2025-04-16 14:01:02,
341,49,n9tNNvVvNZ,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-04-16 14:18:09,2025-04-16 14:18:09,
343,10,ItrLavA5c2,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-04-16 14:24:47,2025-04-16 14:24:47,
346,10,DPfUbotEgt,Kozuba La Ciruela Plum Flavored Whiskey,1,heads-up,,2025-04-16 14:30:17,2025-04-16 14:30:17,
348,10,YgCaEVVqjv,Four Roses 2021 Small Batch Limited Edition,1,fully-blind,,2025-04-16 14:37:49,2025-04-16 14:37:49,
349,10,cRq7H3Nu5u,The Presidential Dram 4 Year Straight Bourbon Whiskey,1,heads-up,,2025-04-16 14:39:41,2025-04-16 14:39:41,
351,35,,Woodford Reserve Double Oaked Bourbon,1,heads-up,,2025-04-17 03:43:43,2025-04-17 03:43:43,
352,62,,Test,2,heads-up,,2025-04-17 05:19:38,2025-04-17 05:19:38,
353,62,,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-04-17 05:20:00,2025-04-17 05:20:00,
354,49,Ts7CMZpQmP,Kozuba La Ciruela Plum Flavored Whiskey,1,heads-up,,2025-04-17 05:24:14,2025-04-17 05:24:14,
355,62,Ts7CMZpQmP,Kozuba La Ciruela Plum Flavored Whiskey,1,heads-up,,2025-04-17 05:25:17,2025-04-17 05:25:17,
356,49,Iti7Tjqbv1,Bird Dog Strawberry Whiskey,1,heads-up,,2025-04-17 05:39:07,2025-04-17 05:39:07,
357,62,Iti7Tjqbv1,Bird Dog Strawberry Whiskey,1,heads-up,,2025-04-17 05:39:15,2025-04-17 05:39:15,
358,62,sewW6S5u3P,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-04-17 05:45:41,2025-04-17 05:45:41,
359,49,sewW6S5u3P,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-04-17 05:45:45,2025-04-17 05:45:45,
371,8,,Wild Turkey 70th Anniversary 101 Bourbon,1,heads-up,,2025-04-17 20:32:35,2025-04-17 20:32:35,
372,8,,Boulder Spirits Cask Strength Straight Bourbon Whiskey,1,heads-up,,2025-04-17 21:18:22,2025-04-17 21:18:22,
373,8,,Shortbarrel The Bee's Knees,1,heads-up,,2025-04-17 22:02:44,2025-04-17 22:02:44,
374,8,,Stagg Bourbon,1,heads-up,,2025-04-17 23:46:00,2025-04-17 23:46:00,
375,8,,Old Fitzgerald 8 Year Bib Decanter,1,heads-up,,2025-04-18 00:59:28,2025-04-18 00:59:28,
379,40,,Red test,3,heads-up,,2025-04-18 08:10:07,2025-04-18 08:10:07,
405,10,Bdq4wbSOLP,Kozuba La Ciruela Plum Flavored Whiskey,1,fully-blind,,2025-04-18 15:58:30,2025-04-18 15:58:30,
407,10,JkpvSq8scK,Red,1,heads-up,,2025-04-18 16:03:27,2025-04-18 16:03:27,
409,8,,Eagle Rare 10 Year Bourbon,1,heads-up,,2025-04-19 01:05:55,2025-04-19 01:05:55,
410,8,,Macallan 18 Year Old Sherry Oak Cask Highland Single Malt Scotch Whisky,1,heads-up,,2025-04-19 01:30:11,2025-04-19 01:30:11,
411,8,,Red Line Toasted Barrel Rye,1,heads-up,,2025-04-19 01:50:29,2025-04-19 01:50:29,
412,8,,Nikka Coffey Grain Japanese Whisky,1,heads-up,,2025-04-19 16:20:10,2025-04-19 16:20:10,
413,46,la1uolDxhY,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-04-21 06:51:59,2025-04-21 06:51:59,
414,46,,Stranahan's Snowflake 2024 Redcloud Peak,1,heads-up,,2025-04-21 06:52:35,2025-04-21 06:52:35,
415,46,sBca4RfXcu,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-04-21 07:19:30,2025-04-21 07:19:30,
416,49,sBca4RfXcu,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-04-21 07:19:31,2025-04-21 07:19:31,
417,49,nwUUvtbaPc,Tesff,2,semi-blind,,2025-04-21 07:25:20,2025-04-21 07:25:20,
418,46,nwUUvtbaPc,Texh,2,semi-blind,,2025-04-21 07:25:26,2025-04-21 07:25:26,
419,49,,Test,2,heads-up,,2025-04-21 07:26:24,2025-04-21 07:26:24,
420,46,G1NhE4FcXo,Tws,2,heads-up,,2025-04-21 07:27:49,2025-04-21 07:27:49,
421,46,,Tssy,2,fully-blind,,2025-04-21 07:28:29,2025-04-21 07:28:29,
422,49,,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-04-21 08:20:43,2025-04-21 08:20:43,
423,46,,%@*@[@×@&,2,semi-blind,,2025-04-21 13:43:36,2025-04-21 13:43:36,
424,49,,Stranahan's Snowflake 2024 Redcloud Peak,1,heads-up,,2025-04-22 06:24:42,2025-04-22 06:24:42,
425,49,,Jack Daniel's 10 Year Old,1,fully-blind,,2025-04-22 07:05:43,2025-04-22 07:05:43,
427,10,,Jack Daniel's Special Release Barrel Proof Rye,1,fully-blind,,2025-04-23 12:28:08,2025-04-23 12:28:08,
428,10,,Sugarland's Blueberry Muffin Moonshine,1,fully-blind,,2025-04-23 12:50:13,2025-04-23 12:50:13,
429,10,,Sugarland's Blueberry Muffin Moonshine,1,fully-blind,,2025-04-23 12:51:11,2025-04-23 12:51:11,
430,8,,Weller Special Reserve,1,heads-up,,2025-04-24 00:27:17,2025-04-24 00:27:17,
447,8,,Eagle Rare 10 Year Bourbon,1,heads-up,,2025-04-24 23:21:05,2025-04-24 23:21:05,
455,8,,Eagle Rare 10 Year Bourbon,1,heads-up,,2025-04-25 22:51:03,2025-04-25 22:51:03,
456,8,,High West Prisoner's Share,1,fully-blind,,2025-04-25 23:08:55,2025-04-25 23:08:55,
457,8,,Elmer T Lee Bourbon,1,heads-up,,2025-04-25 23:44:41,2025-04-25 23:44:41,
458,8,,Leopold Bros Three Chamber Rye,1,heads-up,,2025-04-26 00:19:44,2025-04-26 00:19:44,
459,8,,Horse & Jockey Single Barrel Bourbon,1,heads-up,,2025-04-26 00:40:22,2025-04-26 00:40:22,
460,35,,DEL BAC CLASSIC,1,heads-up,,2025-04-27 03:07:20,2025-04-27 03:07:20,
477,60,Gv4Xnrnk73,Stranahan's Snowflake 2024 Redcloud Peak,1,fully-blind,,2025-04-28 09:49:23,2025-04-28 09:49:23,
479,60,jahLrLzDYI,Kozuba La Ciruela Plum Flavored Whiskey,1,heads-up,,2025-04-28 09:55:03,2025-04-28 09:55:03,
481,60,HoaZSZ1U54,Chicken Cock Red Stave Bourbon,1,fully-blind,,2025-04-28 09:58:45,2025-04-28 09:58:45,
488,60,,Benchmark Top Floor,1,fully-blind,,2025-04-28 10:20:19,2025-04-28 10:20:19,
489,62,,"67&);;",3,heads-up,,2025-04-28 11:37:55,2025-04-28 11:37:55,
492,62,,Tudbjffg,4,fully-blind,,2025-04-28 13:29:56,2025-04-28 13:29:56,
493,49,1uzPykVed1,Stranahan's Snowflake 2024 Redcloud Peak,1,fully-blind,,2025-04-30 05:19:14,2025-04-30 05:19:14,
501,49,,Knob Creek Bourbon Single Barrel,1,fully-blind,,2025-04-30 06:29:08,2025-04-30 06:29:08,
509,49,,Blue Run Chosen Bourbon Cask Str Single Barrel,1,fully-blind,,2025-04-30 07:47:59,2025-04-30 07:47:59,
510,49,,"2005 Strathclyde 18 Year ""Single Cask Nation"" American Oak STR Barrique No. 152673 Single Barrel Cask Strength Lowland Single Grain Scotch Whisky",1,fully-blind,,2025-04-30 07:53:23,2025-04-30 07:53:23,
522,10,,The Presidential Dram 8 Year Straight Bourbon Whiskey,1,fully-blind,,2025-04-30 11:51:52,2025-04-30 11:51:52,
523,10,qDhQ0GNaSe,Chivas Regal 12 Year Scotch,1,fully-blind,,2025-04-30 12:33:22,2025-04-30 12:33:22,
530,8,,Blanton's Single Barrel Bourbon,1,heads-up,,2025-05-02 00:29:58,2025-05-02 00:29:58,
532,8,,Weller Special Reserve,1,heads-up,,2025-05-02 23:15:53,2025-05-02 23:15:53,
533,8,,E H Taylor Small Batch Whiskey,1,heads-up,,2025-05-03 01:28:53,2025-05-03 01:28:53,
534,8,,Shenk's Homestead Sour Mash Whiskey,1,heads-up,,2025-05-03 01:40:45,2025-05-03 01:40:45,
535,8,,Wild Turkey 70th Anniversary 101 Bourbon,1,heads-up,,2025-05-03 23:22:10,2025-05-03 23:22:10,
536,35,,Four Handles (Bull/Turk/Knob/EC),4,semi-blind,,2025-05-03 23:36:24,2025-05-03 23:36:24,
537,8,,Boulder Spirits Port Cask Finish Cask Strength American Single Malt,1,heads-up,,2025-05-04 00:20:35,2025-05-04 00:20:35,
538,8,,Old Soul Bourbon Cask Strength,1,heads-up,,2025-05-04 00:42:38,2025-05-04 00:42:38,
539,35,,RR10/ER10/EHTSmB/BlantonOrig,4,semi-blind,,2025-05-05 00:26:59,2025-05-05 00:26:59,
540,8,,Leopold Bros Foeder Series Blend of Rye Whiskeys,1,heads-up,,2025-05-05 00:46:38,2025-05-05 00:46:38,
541,8,,Weller 12 Year Wheated Bourbon,1,heads-up,,2025-05-05 01:22:01,2025-05-05 01:22:01,
542,8,,Blanton's Gold Edition Bourbon,1,heads-up,,2025-05-05 02:07:32,2025-05-05 02:07:32,
550,40,Hbh5f07LaJ,Kozuba Straight Rye Whiskey,1,heads-up,,2025-05-06 08:01:07,2025-05-06 08:01:07,
553,40,,The Presidential Dram 4 Year Straight Bourbon Whiskey,1,heads-up,,2025-05-06 08:09:29,2025-05-06 08:09:29,
557,40,,Test,3,heads-up,,2025-05-06 08:18:30,2025-05-06 08:18:30,
558,40,,Test,4,heads-up,,2025-05-06 08:19:34,2025-05-06 08:19:34,
563,10,,Kozuba La Ciruela Plum Flavored Whiskey,1,fully-blind,,2025-05-06 11:24:12,2025-05-06 11:24:12,
566,8,,Wild Turkey 70th Anniversary 101 Bourbon,1,heads-up,,2025-05-07 01:05:23,2025-05-07 01:05:23,
567,8,,Old Forester Single Barrel 100 Proof,1,heads-up,,2025-05-07 01:19:59,2025-05-07 01:19:59,
568,52,,Old Forester Single Barrel 100 Proof,1,heads-up,,2025-05-07 01:22:24,2025-05-07 01:22:24,
569,8,,Bardstown Bourbon Company Origin Series - Bottled in Bond,1,heads-up,,2025-05-07 01:40:06,2025-05-07 01:40:06,
570,52,,Bardstown Bourbon Company Origin Series - Bottled in Bond,1,heads-up,,2025-05-07 01:51:27,2025-05-07 01:51:27,
571,8,,Penelope Bourbon Barrel Strength,1,heads-up,,2025-05-07 02:13:10,2025-05-07 02:13:10,
572,52,,Penelope Bourbon Barrel Strength,1,heads-up,,2025-05-07 02:21:03,2025-05-07 02:21:03,
573,8,,Old Dominick cask strength bourbon whiskey,1,heads-up,,2025-05-07 02:36:48,2025-05-07 02:36:48,
574,52,,Old Dominick cask strength,1,heads-up,,2025-05-07 03:02:04,2025-05-07 03:02:04,
575,8,,Old Forester Single Barrel Barrel Proof Rye,1,heads-up,,2025-05-07 03:40:29,2025-05-07 03:40:29,
576,46,,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-05-07 07:05:00,2025-05-07 07:05:00,
577,62,,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-05-07 07:06:46,2025-05-07 07:06:46,
578,62,,Kozuba Straight Rye Whiskey,1,heads-up,,2025-05-07 07:17:59,2025-05-07 07:17:59,
579,62,,Kozuba Straight Rye Whiskey,1,heads-up,,2025-05-07 07:18:39,2025-05-07 07:18:39,
580,62,,Kozuba Straight Rye Whiskey,1,heads-up,,2025-05-07 07:19:18,2025-05-07 07:19:18,
581,62,,Kozuba Straight Rye Whiskey,1,heads-up,,2025-05-07 07:19:43,2025-05-07 07:19:43,
582,62,,Kozuba Straight Rye Whiskey,1,heads-up,,2025-05-07 07:20:26,2025-05-07 07:20:26,
583,49,,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-05-07 07:24:38,2025-05-07 07:24:38,
584,49,,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-05-07 07:25:11,2025-05-07 07:25:11,
585,49,,Chicken Cock Red Stave Bourbon,1,heads-up,,2025-05-07 07:27:25,2025-05-07 07:27:25,
586,49,,Sugarland's Blueberry Muffin Moonshine,1,heads-up,,2025-05-07 07:29:40,2025-05-07 07:29:40,
601,8,,Old Forester 117 Series Warehouse I,1,heads-up,,2025-05-07 23:42:29,2025-05-07 23:42:29,
602,8,,Rock Hill Farms Bourbon,1,heads-up,,2025-05-07 23:57:16,2025-05-07 23:57:16,
603,8,,Heaven hill 19 year wheat whiskey,1,heads-up,,2025-05-08 00:18:10,2025-05-08 00:18:10,
604,8,,Old Rip Van Winkle Bourbon 10 Year,1,heads-up,,2025-05-08 00:35:41,2025-05-08 00:35:41,
605,8,,William Larue Weller Bourbon,1,heads-up,,2025-05-08 01:01:07,2025-05-08 01:01:07,
606,8,,E H Taylor Barrel Proof Bourbon,1,heads-up,,2025-05-08 01:26:56,2025-05-08 01:26:56,
607,8,,George T. Stagg Bourbon,1,heads-up,,2025-05-08 01:38:02,2025-05-08 01:38:02,
608,8,,Little Book The Infinite,1,heads-up,,2025-05-08 01:51:07,2025-05-08 01:51:07,
609,8,,E H Taylor Single Barrel Bourbon,1,heads-up,,2025-05-08 02:28:14,2025-05-08 02:28:14,
610,8,,Rebel 10 Year Old Single Barrel Kentucky Straight Bourbon,1,heads-up,,2025-05-08 03:05:18,2025-05-08 03:05:18,
611,8,,Old Forester President's Choice,1,heads-up,,2025-05-08 03:25:29,2025-05-08 03:25:29,
612,8,,Michter's US1 Barrel Strength Rye Whiskey,1,heads-up,,2025-05-08 03:48:10,2025-05-08 03:48:10,
613,8,,E H Taylor Straight Rye Whiskey,1,heads-up,,2025-05-08 04:11:29,2025-05-08 04:11:29,
614,10,,Buzzard's Roost American Whiskey,1,fully-blind,,2025-05-08 07:39:10,2025-05-08 07:39:10,
622,8,,Old Forester Single Barrel 100 Proof,1,heads-up,,2025-05-11 00:59:20,2025-05-11 00:59:20,
623,8,,Old Dominick Cask Strength Bourbon Whiskey,1,heads-up,,2025-05-11 01:22:49,2025-05-11 01:22:49,
624,8,,Penelope Bourbon Barrel Strength,1,heads-up,,2025-05-11 01:49:31,2025-05-11 01:49:31,
625,8,,Bardstown Bourbon Company Origin Series - Bottled in Bond,1,heads-up,,2025-05-11 02:09:57,2025-05-11 02:09:57,
626,8,,J.T. Meleck High Proof Rice Whiskey,1,heads-up,,2025-05-13 02:48:10,2025-05-13 02:48:10,
627,10,,Save,4,semi-blind,,2025-05-13 13:30:59,2025-05-13 13:30:59,
628,98,,Kozuba La Ciruela Plum Flavored Whiskey,1,fully-blind,,2025-05-13 13:46:46,2025-05-13 13:46:46,
630,10,,Rest,4,heads-up,,2025-05-14 07:48:43,2025-05-14 07:48:43,
632,10,,Red,4,heads-up,,2025-05-14 08:24:16,2025-05-14 08:24:16,
634,10,,"Lochlea ""Our Barley"" Single Estate Lowland Single Malt",1,fully-blind,,2025-05-14 08:29:32,2025-05-14 08:29:32,
635,10,,Scratch Orange Flavored Whiskey,1,heads-up,,2025-05-14 08:51:48,2025-05-14 08:51:48,
636,10,,Red Line Toasted Barrel Rye,1,fully-blind,,2025-05-14 08:53:24,2025-05-14 08:53:24,
637,10,,"1967 Macallan ""Sir Peter Blake - Anecdotes of Ages, Down to Work"" Limited Release Highland Single Malt Scotch Whisky",1,heads-up,,2025-05-14 08:55:54,2025-05-14 08:55:54,
638,10,,"Augusta Distillery 8 Year Old ""Old Route 8"" Unfiltered Cask Strength Single Barrel Kentucky Straight Bourbon Whiskey",1,heads-up,,2025-05-14 09:01:46,2025-05-14 09:01:46,
639,10,,Colors,4,heads-up,,2025-05-14 09:31:45,2025-05-14 09:31:45,
640,10,,21233,4,heads-up,,2025-05-14 10:24:42,2025-05-14 10:24:42,
641,10,,Kozuba La Ciruela Plum Flavored Whiskey,1,fully-blind,,2025-05-14 10:26:00,2025-05-14 10:26:00,
643,10,,"Barrel Hitch ""Oregon Oak"" American Whiskey",1,fully-blind,,2025-05-14 10:27:11,2025-05-14 10:27:11,
