id,flight_id,pour_no,whiskey_id,rating,profiness,viscocity,complexity,finish_duration,created_at,updated_at,deleted_at
271,202,1,2323,"3.40",,,,,2025-04-04 07:41:28,2025-04-04 07:41:28,
275,206,1,2928,"4.40",,,,,2025-04-04 10:34:29,2025-04-04 10:34:29,
279,210,1,2924,"7.70",,,,,2025-04-04 13:36:27,2025-04-04 13:36:27,
286,217,1,2929,"2.90",,,,,2025-04-04 14:03:48,2025-04-04 14:03:48,
288,219,1,2929,"5.30",,,,,2025-04-04 14:04:45,2025-04-04 14:04:45,
290,221,1,2928,"4.60",,,,,2025-04-04 14:07:25,2025-04-04 14:07:25,
292,223,1,2928,"4.60",,,,,2025-04-04 14:08:40,2025-04-04 14:08:40,
305,236,1,2888,"6.90","5.70","6.60","6.80","6.90",2025-04-05 03:12:14,2025-04-05 03:12:14,
306,237,1,840,"6.90","3.00","5.50","5.50","6.00",2025-04-05 20:19:25,2025-04-05 20:19:25,
307,238,1,1605,"7.10","6.50","6.00","7.00","7.80",2025-04-05 20:39:13,2025-04-05 20:39:13,
308,239,1,549,"6.80","4.00","4.50","7.00","7.00",2025-04-05 21:02:36,2025-04-05 21:02:36,
309,240,1,1580,"7.90","6.50","6.50","7.00","7.50",2025-04-05 21:33:56,2025-04-05 21:33:56,
310,241,1,481,"8.00","7.50","7.00","7.00","8.00",2025-04-05 21:53:21,2025-04-05 21:53:21,
311,242,1,1886,"5.80","6.00","4.50","5.50","7.60",2025-04-05 22:45:23,2025-04-05 22:45:23,
312,243,1,2138,"0.50","2.20","0.90","0.40","7.50",2025-04-06 02:20:53,2025-04-06 02:20:53,
313,244,1,1550,"7.00","7.40","6.80","7.10","6.70",2025-04-06 02:31:56,2025-04-06 02:31:56,
314,245,1,1892,"6.20","6.40","5.80","6.80","5.70",2025-04-06 02:45:14,2025-04-06 02:45:14,
315,246,1,532,"5.90","5.70","5.40","5.40","5.50",2025-04-06 03:44:53,2025-04-06 03:44:53,
